company_id,name,website_domain,description,industry_primary,verticals,year_founded,hq_city,hq_state,hq_country,funding_total_usd,last_round_type,last_round_size_usd,last_round_date,filing_count,source,github_stars,github_activity_90d,hn_mentions,hn_points,open_job_postings,semantic_sim,stage_fit,geo_fit,traction,investor_signal,hygiene,score,pts_semantic_sim,pts_stage_fit,pts_geo_fit,pts_traction,pts_investor_signal,pts_hygiene
c_0e2ea6a5cdc1,rekursiv.ai,rekursiv.ai,"We're scaling self-improving AI scientist teams to ideate/experiment/discover, generating new knowledge autonomously. Their discoveries reduced ARC-1/2 costs by 10,000× while maintaining state-of-the-art accuracy and yielded material advances on combinatorial ML problems.

We believe that AI is bounded not by compute, but ideas. Scaling to millions of sessions of discovery enables leveraging its own discoveries and presents a novel training source capable of ushering a new era of self-reliant foundational models.",B2B,"Artificial Intelligence, Deep Learning, Machine Learning",,San Francisco,CA,US,,,,,0,yc,,,,,,0.5483534,0.5,1.0,0.0,0.0,0.75,45.68,21.93,10.0,10.0,0.0,0.0,3.75
c_8c75577df509,Confluence Labs,confluence.sh,"While modern AI excels in any area you can collect a lot of data for, it struggles in areas where data is sparse or costly to attain. Designing new molecules, discovering new physics, and engineering new materials are all domains where collecting data is extremely costly. 

We dream of a world where AI accelerates research in all of these domains and creates a more abundant future for humanity, but the current technology is not there. That’s why we started Confluence Labs. 

We are building AI that can design highly effective experiments in data-sparse domains and learn maximally from the data it already has.",B2B,,,San Francisco,CA,US,,,,,0,yc,,,,,,0.54771036,0.5,1.0,0.0,0.0,0.75,45.66,21.91,10.0,10.0,0.0,0.0,3.75
c_2ad0190d81b2,Wayy Inc.,,,Other Technology,,2023.0,MIAMI,FL,US,2000000.0,Seed,2000000.0,2026-07-28,1,edgar,,,,,,0.24033953,1.0,1.0,0.0,0.34,0.5,45.51,9.61,20.0,10.0,0.0,3.4,2.5
c_8aab1bc15d6e,Ventura,ventura.ai,"Ventura builds the AI workforce for distributors and manufacturers, starting with quoting and order entry. It plugs into your existing ERP, follows your SOPs, and learns your team's tribal knowledge - getting smarter with every completed task.",Industrials,,,San Francisco,CA,US,,,,,0,yc,,,,,,0.543985,0.5,1.0,0.0,0.0,0.75,45.51,21.76,10.0,10.0,0.0,0.0,3.75
c_a6797f252d0e,IncidentFox,incidentfox.ai,AI SRE agents that automatically learn each customer’s system so they work just like an in-house engineer.,B2B,"AIOps, Artificial Intelligence, Developer Tools",,San Francisco,CA,US,,,,,0,yc,,,,,,0.5370159,0.5,1.0,0.0,0.0,0.75,45.23,21.48,10.0,10.0,0.0,0.0,3.75
c_03a1aa83a1c1,Trope,trope.ai,"Trope is the AI-native ERP implementation platform that helps partners deliver successful projects faster.

Trope understands the entire project lifecycle from pre-sales to go-live and beyond. Agents take action across documents, configurations, and code.

For implementation partners, it’s like having a project manager, consultant, and developer working 24/7.",B2B,"Artificial Intelligence, SaaS, B2B",,San Francisco,CA,US,,,,,0,yc,,,,,,0.53588235,0.5,1.0,0.0,0.0,0.75,45.19,21.44,10.0,10.0,0.0,0.0,3.75
c_017d14b08c2d,Regbase,regbase.com,"Automating Corporate Compliance, Worldwide",B2B,,,San Francisco,CA,US,,,,,0,yc,0.0,0.0,21.0,143.0,,0.26624006,0.5,1.0,0.7194541640317499,0.0,0.75,45.19,10.65,10.0,10.0,10.79,0.0,3.75
c_c6d7af1111a6,Tolmo,tolmo.com,"Tolmo is an agent-driven security platform that secures every layer — code, CI, cloud applications at the speed of AI changes.

Codebases are growing faster than ever, at a rate humans can’t keep up with. Tolmo deploys fleets of AI security agents on a live production knowledge graph that connects data from cloud services, containers, databases, and third-party providers (Observability, Security, etc.).

Tolmo agents triage, verify impact, and remediate security issues autonomously, escalating to humans only when truly necessary.",B2B,"DevSecOps, Security, AI",,San Francisco,CA,US,,,,,0,yc,,,,,,0.53249896,0.5,1.0,0.0,0.0,0.75,45.05,21.3,10.0,10.0,0.0,0.0,3.75
c_a6efb951a0e4,Chronicle Labs,chronicle-labs.com,"Chronicle Labs is a staging environment for enterprise AI agents: we capture every event the agent sees in production and backtest it, so customers can safely test new behaviors without breaking anything.",B2B,,,San Francisco,CA,US,,,,,0,yc,,,,,,0.53046346,0.5,1.0,0.0,0.0,0.75,44.97,21.22,10.0,10.0,0.0,0.0,3.75
c_4e40bbadab13,Canary,runcanary.ai,"AI coding tools have made developers 100x faster but customer-facing incidents are up 43% YoY, QA hasn't kept up. Canary is the first AI QA engineer that understands your codebase. Instead of relying on flaky DOM scraping or screenshot analysis, Canary reads your source code directly to understand developer intent and catch broken user flows before they hit production. Engineering teams go from weeks of manual testing to 90%+ coverage in days. Built by a team that built coding agents at Windsurf, Cognition and Google.
",B2B,,,San Francisco,CA,US,,,,,0,yc,,,,,,0.5299016,0.5,1.0,0.0,0.0,0.75,44.95,21.2,10.0,10.0,0.0,0.0,3.75
c_4908cad72c39,Maingen,maingen.ai,Maingen builds RL environments for industrial operations ($5 trillion slice of the US economy) so frontier labs can train models that actually run factories.,Industrials,"Artificial Intelligence, B2B, Energy, Big Data, AI",,San Francisco,CA,US,,,,,0,yc,,,,,,0.52857697,0.5,1.0,0.0,0.0,0.75,44.89,21.14,10.0,10.0,0.0,0.0,3.75
c_bae7b47208ef,YouArt,youart.ai,"YouArt helps storytellers create AI originals using our industry-leading video agent, launch their original concepts, get funded directly by early fans, and earn from their audience.",Consumer,,,San Francisco,CA,US,,,,,0,yc,,,,,,0.52822936,0.5,1.0,0.0,0.0,0.75,44.88,21.13,10.0,10.0,0.0,0.0,3.75
c_186d07f109e0,LemonLime,lemonlime.ai,"LemonLime enables any business to deploy custom AI automations in minutes.  

It connects to your existing tools to pull information across sources, studies your business, and instantly creates specialized agents designed to support your team across departments.

Don't know where to start? LemonLime automatically surfaces suggested automations that can be implemented with a single click.",B2B,"SaaS, Workflow Automation, AI",,San Francisco,CA,US,,,,,0,yc,,,,,,0.52648914,0.5,1.0,0.0,0.0,0.75,44.81,21.06,10.0,10.0,0.0,0.0,3.75
c_715e4859f95a,Experiential Labs,experientiallabs.ai,We build model endpoints for your agent that will always be frontier quality and 50%+ cheaper than any frontier model. This is done by continuously improving smaller models on simulations built from production agent traces. ,B2B,"Infrastructure, AI",,San Francisco,CA,US,,,,,0,yc,,,,,,0.5245129,0.5,1.0,0.0,0.0,0.75,44.73,20.98,10.0,10.0,0.0,0.0,3.75
c_550c6d2916d6,Foaster,foaster.ai,"Foaster is building the AI-native McKinsey, starting with AI transformation.

We deploy AI agents that interview a company's employees at scale, map how work actually gets done, identify bottlenecks and AI opportunities, and draft a transformation roadmap in just 2 weeks. Expert consultants review the final outputs, add judgment where it matters, and feed their corrections back into the system.

We believe current AI models already have the capabilities required to automate most of the work consultants do. But traditional consulting firms use them to improve the old model: helping consultants work faster. 

Foaster is instead rebuilding a new model from scratch, where agents do the work that needs scale and humans review the final outputs, bring expertise, and improve the system overtime.

We are starting with AI transformation, then progressively expanding to more and more consulting projects using the same approach. Every mission creates structured knowledge from interviews, workflow maps, recommendations, and expert corrections, so the system gets better with every client engagement.

The $500B consulting market will eventually be run by our AI agents and a small number of expert humans.",B2B,,,San Francisco,CA,US,,,,,0,yc,,,,,,0.5208794,0.5,1.0,0.0,0.0,0.75,44.59,20.84,10.0,10.0,0.0,0.0,3.75
c_f27909ccdcd6,Saudara AI,saudara.ai,"Saudara AI is an AI sourcing broker connecting American brands with vetted overseas factories.

US brands import $3T in goods a year and lose billions to ghost suppliers, hidden fees, and blown deadlines. The factories that actually deliver sit behind decades-old relationships outsiders can't break into. We were born into them.

Every deal runs through a real human broker, supercharged by AI that handles sourcing, quoting, QC, logistics and vendor financing. 10x faster, at a fraction of the cost.

Sourcing is the largest broken market in global trade. We're the on-ramp.",B2B,,,San Francisco,CA,US,,,,,0,yc,0.0,0.0,5.0,4.0,,0.43313655,0.5,1.0,0.23299000144533963,0.0,0.75,44.57,17.33,10.0,10.0,3.49,0.0,3.75
c_5f1a64b96ba5,"DoneCast, Inc.",,,Business Services,,2026.0,GLENDALE,CA,US,250000.0,Pre-Seed,250000.0,2026-07-28,1,edgar,,,,,,0.21072027,1.0,1.0,0.0,0.34,0.5,44.33,8.43,20.0,10.0,0.0,3.4,2.5
c_bd3df7dea1f0,Carrot Labs,superpenguin.ai,"The problem: 
AI has quietly become one of the largest and fastest-growing line items for companies. Spend is scattered across a dozen provider consoles that each show one number at the end of the month and nothing about why it moved. There's no unified view, and no way to trace a dollar back to the customer, feature, team, or even the pull request that caused it.

Which customers are unprofitable once you subtract their AI costs? Which feature is quietly burning your Anthropic budget? Is this week's spike a runaway loop or real growth? How much did that AI-written PR actually cost to ship?
Today teams reverse-engineer answers by exporting CSVs from each provider and stitching them together in a spreadsheet, and by the time they do, the money is already spent.

What SuperPenguin does: SuperPenguin tracks AI spend across 14 providers (OpenAI, Anthropic, Google Gemini, Deepgram, ElevenLabs, AWS Bedrock, Azure, Modal, Cursor, OpenRouter, and more).

* Zero-code setup: connect an API key and costs sync automatically with model-level breakdowns, trends, and forecasts
* Per-request attribution: add two lines with our Python or TypeScript SDK to tag every AI call by customer, feature, team, or environment (or any other metadata).
* AI coding cost per PR: connect Cursor to see engineering spend attributed to each pull request, repo, and developer, so you know what it actually costs to ship.
* Alerts on budget thresholds and spend anomalies, delivered to Slack, email, or Discord.

Most teams are set up in under five minutes. We help companies see where their AI money goes and whether it's worth it.",B2B,"AIOps, Artificial Intelligence, FinOps, B2B, AI",,San Francisco,CA,US,,,,,0,yc,,,,,,0.5138303,0.5,1.0,0.0,0.0,0.75,44.3,20.55,10.0,10.0,0.0,0.0,3.75
c_01b0fb06e329,Sazabi,sazabi.com,"The AI-native observability platform for fast-moving engineering teams. Backed by tastemakers from the world's top AI companies: Vercel, Graphite, Daytona, Browserbase, LangChain, Mastra, Replit, and more.",B2B,,,San Francisco,CA,US,,,,,0,yc,,,,,,0.5118314,0.5,1.0,0.0,0.0,0.75,44.22,20.47,10.0,10.0,0.0,0.0,3.75
c_1db55d2d7093,Archer,archermoney.com,"Archer is the financial infrastructure for the AI data economy.

We’re building global payouts, stablecoin banking, and yield infrastructure for the companies supplying data to frontier AI labs.

As demand for high-quality data grows, millions of contributors around the world are generating, labeling, validating, and improving the datasets that power modern AI systems. Yet the financial infrastructure behind these platforms remains slow, fragmented, and expensive.

Archer enables data marketplaces, AI labor platforms, and reinforcement learning environment providers to onboard workers globally, pay contributors instantly, and earn yield on idle balances.

Today, companies use Archer to manage contributor earnings, global payouts, and treasury operations across hundreds of countries and payment corridors.

We believe the next generation of AI companies will need purpose-built financial infrastructure. Just as cloud providers became the backbone of software, Archer is building the financial layer for the global workforce powering artificial intelligence.",Fintech,"Crypto / Web3, Neobank, AI",,San Francisco,CA,US,,,,,0,yc,,,,,,0.50950056,0.5,1.0,0.0,0.0,0.75,44.13,20.38,10.0,10.0,0.0,0.0,3.75
c_1c0342f0573e,Aster,asterlab.ai,Aster is the first autonomous research lab — thousands of AI research agents orchestrated in parallel toward a single goal. We're on a mission to automate open-ended research: research that defines its own problems before it can answer them. The future doesn't wait to be defined by benchmarks. Neither do we.,B2B,,,San Francisco,CA,US,,,,,0,yc,0.0,0.0,0.0,0.0,,0.5089381,0.5,1.0,0.0,0.0,0.75,44.11,20.36,10.0,10.0,0.0,0.0,3.75
c_fa92b497c2eb,Understudy Labs,understudylabs.com,"An open-source toolkit to capture traces, evaluate cheaper models against benchmarks, and ship specialist routes you own.

Capture traces from LLM production workflows with a single install that deploys within coding agents you already use. Hosted infrastructure is optional.

Evaluate the captured traces and set a benchmark for success. Every future model switch meets or exceeds it in A/B testing.

Train and fine-tune a new model on prompts and weights you always own. Start locally and scale into cloud-hosted processes as you see success.

Deploy a new model only when the held-out eval is beaten. Serve it wherever you want. Production data feeds back into training and compounds performance over time.

Test. Learn. Deploy. Repeat.",B2B,"Artificial Intelligence, Open Source, AI, ML",,San Francisco,CA,US,,,,,0,yc,,,,,,0.5087907,0.5,1.0,0.0,0.0,0.75,44.1,20.35,10.0,10.0,0.0,0.0,3.75
c_d5eb3a7246b2,Robocurve,robocurve.org,"Robocurve builds open-source tools and independent benchmarks to measure how well robots can do real-world jobs. Instead of relying on unverified demo videos from frontier labs, we score their models on reproducible benchmarks that anyone can trust.

Today there are no well-run, standardized robotics benchmarks. Labs evaluate in-house, and no independent group has stepped in to run continuous benchmarking as a service. The result is that no one actually knows how good anyone else is, or where the real frontier sits.

Good benchmarks require operating and maintaining physical hardware and real-world setups. Simulation only goes so far, since models that look strong in sim can show large performance gaps once deployed in the real world. Building real-world benchmarks means coordinating job-domain experts, evals engineering, and hands-on robotics all at once.

Frontier labs are targeting general-purpose robotics by 2028, yet the field of robotics evals barely exists. Whoever builds the trusted measure of robot capability becomes the reference everyone relies on. We combine backgrounds in AI evals and robotics to build and grow this field as fast as possible. We already shipped v1 of our open-source framework, Inspect Robots, and ran our first pilot scoring a frontier model on a real robot.",Industrials,"Hard Tech, Hardware, Robotics, Open Source, AI",,San Francisco,CA,US,,,,,0,yc,,,,,,0.50725996,0.5,1.0,0.0,0.0,0.75,44.04,20.29,10.0,10.0,0.0,0.0,3.75
c_9eb36a484fe9,CDT Shield.AI SPV LLC,,,Other Technology,,2026.0,MCLEAN,VA,US,,Seed,,2026-07-28,1,edgar,,,,,,0.20400533,1.0,1.0,0.0,0.3333333333333333,0.5,43.99,8.16,20.0,10.0,0.0,3.33,2.5
c_b986d8b46fd0,/dev/fast,dev.fast,"/dev/fast is the AI-native code forge. Developers use it to drive token cost savings and cut mean time-in-review by 2x.

Learn more at https://dev.fast",B2B,,,San Francisco,CA,US,,,,,0,yc,,,,,,0.5049624,0.5,1.0,0.0,0.0,0.75,43.95,20.2,10.0,10.0,0.0,0.0,3.75
c_1a45cef7c807,BentoLabs AI,bentolabs.ai,"BentoLabs is the monitoring and learning layer for long-running agents. We detect when agents silently fail or drift from the user's goal, system prompt, or tool contracts, show affected users and root cause, and suggest the prompt, skill, or harness fix.

As more teams deploy agents, keeping them reliable in production becomes mission-critical. Bento sits directly in the production loop and gives teams the operational leverage required to scale agent ecosystems without scaling human firefighting alongside them. The result is a system that turns opaque agents into agents that can be monitored, debugged, and improved continuously.

The founders learned this problem at Emergent (YC S24), where they built and operated production coding agents used by 5M+ users. Abhinav was hire #1 and helped Emergent hit SWE-Bench #1 and scale from $0 to $100M ARR in just 8 months. Kaushik was hire #2, led full-stack engineering at Emergent, and was key to building the infrastructure that made production agents reliable, observable, and debuggable. Bento's self-learning engine has also lifted ARC-AGI-3 (internal) by 2.6x and Terminal-Bench 2.0 (internal) from 42.2% to 52.4% pass@1 with the same model, tools, and budget.",B2B,,,San Francisco,CA,US,,,,,0,yc,,,,,,0.50303245,0.5,1.0,0.0,0.0,0.75,43.87,20.12,10.0,10.0,0.0,0.0,3.75
c_a8abb403ed68,Korso,korsoai.com,"Check out our first product at https://www.korsoai.com/shepherd (agent collaboration tool for coding, so you never face merge conflicts or agents rewriting each other again)",B2B,"Artificial Intelligence, SaaS, Market Research",,Los Angeles,CA,US,,,,,0,yc,,,,,,0.49792743,0.5,1.0,0.0,0.0,0.75,43.67,19.92,10.0,10.0,0.0,0.0,3.75
c_65bb7a14728e,Vestris,vestris.ai,AI native platform for real estate closings,Real Estate and Construction,"Workflow Automation, Home Services",,San Francisco,CA,US,,,,,0,yc,,,,,,0.495127,0.5,1.0,0.0,0.0,0.75,43.56,19.81,10.0,10.0,0.0,0.0,3.75
c_c958b71c3459,Assemble,assemble.ai,"Assemble accelerates IT teams by performing development work inside core enterprise systems like ERP, CRM, and HRIS. Our agents help IT teams scope dependencies, build logic, and validate changes across your systems.",B2B,"SaaS, Enterprise Software, AI",,San Francisco,CA,US,,,,,0,yc,,,,,,0.4947395,0.5,1.0,0.0,0.0,0.75,43.54,19.79,10.0,10.0,0.0,0.0,3.75
c_e959c97330ba,Hoplite,hoplite.sh,Effortlessly deploy cloud software factories.,B2B,"Developer Tools, Cloud Computing, AI",,San Francisco,CA,US,,,,,0,yc,,,,,,0.49426353,0.5,1.0,0.0,0.0,0.75,43.52,19.77,10.0,10.0,0.0,0.0,3.75
c_ee1cce3c74bd,Superset,superset.sh,"Superset is an open-source IDE that helps engineers run 100s of coding agents in parallel.

Our desktop app is loved by tens of thousands of engineers, and we're scaling out our effort to build a collaborative, cross-platform tool to allow users to code anywhere.",B2B,"Developer Tools, Consumer, B2B, Enterprise Software, AI",,San Francisco,CA,US,,,,,0,yc,,,,,,0.49250212,0.5,1.0,0.0,0.0,0.75,43.45,19.7,10.0,10.0,0.0,0.0,3.75
c_a6cf5f414548,Ashr,ashr.io,"Ashr is a fully contained test and evals platform that improves AI agents by ensuring accuracy and quality across a wide range of user journeys through your product.

Ashr generates user journeys through your agents’ tool calls, results, and questions. We don’t generate one off tests, we generate large amounts of authentic user stories through your product, and pick up on errors, inconsistencies, and failures that would otherwise take hours of manual testing or get caught by a customer. We also work to ensure agent response quality in line with your business goals by offering custom evaluation metrics.

Ashr works with voice, text, automated website generation, image, file generation, and multimodal. We’re also willing to generate custom input types or make modifications for anyone interested. Currently, we integrate as an SDK, and are proactively working to make our documentation and resources as accessible and easy to use as possible.",B2B,,,San Francisco,CA,US,,,,,0,yc,,,,,,0.4910846,0.5,1.0,0.0,0.0,0.75,43.39,19.64,10.0,10.0,0.0,0.0,3.75
c_f158e25056e1,Voquill,voquill.com,"Voquill is the modern AI-native operating system for medical labs. This software manages the entire workflow of the lab (accessioning, workflow, reporting, coding, compliance, and revenue) and contains modern agentic AI tools to help each step. For example, pathologists can write reports 20% faster through our voice AI coworker.

Incumbent lab operating systems are old, don't scale with how modern labs work, and can’t integrate existing AI solutions. As a result, labs are either building their own or paying millions for band-aid solutions and consultants. We're building an agentic platform to manage every aspect of the lab and displace the billions spent on legacy management systems.",Healthcare,,,San Francisco,CA,US,,,,,0,yc,,,,,,0.4909939,0.5,1.0,0.0,0.0,0.75,43.39,19.64,10.0,10.0,0.0,0.0,3.75
c_c78ef6d4011f,Bootheo Inc.,,,Other Technology,,2026.0,ORLANDO,FL,US,150000.0,Pre-Seed,150000.0,2026-07-28,1,edgar,,,,,,0.18465427,1.0,1.0,0.0,0.34,0.5,43.29,7.39,20.0,10.0,0.0,3.4,2.5
c_19d439008ba3,Truffle,usetruffle.ai,"Truffle is the first AI-native operating system for the hospitality back-of-house. 

Restaurants, cafes and bars still run on a patchwork of disconnected point solutions, spreadsheets, clipboards and tribal knowledge, which costs the industry billions each year in stockouts, food waste, and lost profit. 

Truffle replaces that entire stack with one system. Computer vision and voice AI capture real-time inventory levels 90% faster than manual counts, ML models forecast item-level demand at 97% accuracy, and AI agents run dozens of end-to-end workflows autonomously, from procurement and invoice reconciliation to scheduling, food prep, menu engineering, and more.",B2B,"Artificial Intelligence, SaaS, Restaurant Tech",,New York City,NY,US,,,,,0,yc,,,,,,0.48556623,0.5,1.0,0.0,0.0,0.75,43.17,19.42,10.0,10.0,0.0,0.0,3.75
c_23406c8f74fb,Shepherd,askshepherd.ai,"Shepherd automatically ingests every tool your team uses into one unified memory you can index, and your agents can act on.",B2B,"Enterprise, Search, AI Assistant",,San Francisco,CA,US,,,,,0,yc,,,,,,0.48459235,0.5,1.0,0.0,0.0,0.75,43.13,19.38,10.0,10.0,0.0,0.0,3.75
c_89f885d3df07,Alkera AI,alkera.ai,"Alkera is a data engineering/analysis/science agent that works in your IDE or CLI. If you’re tired of agents that produce false, or even dangerous, reports about your data, then Alkera is for you. Our agent is equipped with your data’s history and lineage, your team’s knowledge, and tailored plugins for data apps such as Snowflake and dbt. Simply install and connect your services to begin doing trusted agentic data work. We also offer VPC & on-prem deployment options for when data can't leave your boundary.",B2B,"Artificial Intelligence, Developer Tools, Data Science, Data Engineering, Enterprise Software",,San Francisco,CA,US,,,,,0,yc,,,,,,0.4827378,0.5,1.0,0.0,0.0,0.75,43.06,19.31,10.0,10.0,0.0,0.0,3.75
c_062e858ccc4a,83 Sciences,83sciences.ai,"83 Sciences uses AI to mine discarded experimental data and drive scientific breakthroughs. Working alongside labs, we discover the materials that will power the new Industrial Revolution.",Industrials,"Hard Tech, Advanced Materials, AI",,San Francisco,CA,US,,,,,0,yc,,,,,,0.4822151,0.5,1.0,0.0,0.0,0.75,43.04,19.29,10.0,10.0,0.0,0.0,3.75
c_03567d6640b5,Intelligence Factory,intelligence-factory.com,"Robotics is the new paradigm. With hardware converging, Intelligence is the biggest bottleneck. Our world was built for humans and we're giving robots the ability to reason and act like us. 

The way we learn any task - by seeing, doing, and feeling - is how we train robots. We're building general intelligence that works on any robot and fits seamlessly within our world.",Industrials,,,San Francisco,CA,US,,,,,0,yc,,,,,,0.48103768,0.5,1.0,0.0,0.0,0.75,42.99,19.24,10.0,10.0,0.0,0.0,3.75
c_e5dfca3ac69e,"WEG Consolidated, LLC",,,Other,,2021.0,BOSTON,MA,US,,Seed,,2026-07-28,1,edgar,,,,,,0.1750793,1.0,1.0,0.0,0.3333333333333333,0.5,42.84,7.0,20.0,10.0,0.0,3.33,2.5
c_221e6ee8a7f7,Speko,speko.ai,OpenRouter for voice AI,B2B,"Developer Tools, AI, Conversational AI",,San Francisco,CA,US,,,,,0,yc,,,,,,0.47669575,0.5,1.0,0.0,0.0,0.75,42.82,19.07,10.0,10.0,0.0,0.0,3.75
